iter	RMSE
0	0.2859532397
1	0.2844650562
2	0.2835627478
3	0.2820946223
4	0.280817211
5	0.279421238
6	0.277424791
7	0.2756683412
8	0.2745380729
9	0.2733418793
10	0.2719070803
11	0.2700548629
12	0.2683871614
13	0.266972903
14	0.2658102242
15	0.2645284973
16	0.2626937286
17	0.2620539315
18	0.260643148
19	0.259070258
20	0.2580888359
21	0.2569924579
22	0.2558041216
23	0.2545979813
24	0.2532272702
25	0.25186056
26	0.2507485593
27	0.2496977365
28	0.2493302097
29	0.2482201377
30	0.2471422378
31	0.2453903015
32	0.2439363005
33	0.2432142682
34	0.2422803798
35	0.24130938
36	0.2400807144
37	0.239024418
38	0.2381820145
39	0.2368849866
40	0.235612544
41	0.2346691264
42	0.2337026976
43	0.2329261111
44	0.231839081
45	0.2306368162
46	0.2294759624
47	0.2280546173
48	0.2268856145
49	0.2258191101
50	0.2249816445
51	0.2238181748
52	0.2225766253
53	0.2215852629
54	0.2205247347
55	0.2191156495
56	0.2184030405
57	0.2175550504
58	0.2163393548
59	0.2151614626
60	0.2144781973
61	0.2134403547
62	0.2122248548
63	0.2108556469
64	0.2096704618
65	0.2088477177
66	0.2079311639
67	0.2070569115
68	0.2061472916
69	0.2052781645
70	0.2039862391
71	0.2031168059
72	0.2024112701
73	0.2013682346
74	0.2002498001
75	0.199103891
76	0.1977355186
77	0.1967765843
78	0.1958100862
79	0.1951503415
80	0.194523553
81	0.1939788
82	0.1930027599
83	0.1926268308
84	0.1921094753
85	0.1912755696
86	0.1903375204
87	0.1894047756
88	0.1882707656
89	0.1875740053
90	0.1869532054
91	0.1862141017
92	0.1851692149
93	0.1843300756
94	0.1829926607
95	0.1822293624
96	0.1816659446
97	0.1806454374
98	0.1798322622
99	0.179182107
100	0.1782186893
101	0.1770489759
102	0.176394841
103	0.1757181478
104	0.1751691045
105	0.1746119498
106	0.1732773094
107	0.1725561272
108	0.1718140293
109	0.1711084624
110	0.1701661281
111	0.169557302
112	0.168657119
113	0.1678012319
114	0.1671154241
115	0.1663504774
116	0.1655637879
117	0.1648800823
118	0.1637853975
119	0.1628029449
120	0.1619806676
121	0.1612473345
122	0.1608054306
123	0.1602801812
124	0.1596147036
125	0.1589799252
126	0.1584859346
127	0.1578456785
128	0.1571560391
129	0.1564141714
130	0.1555879657
131	0.1549842563
132	0.1542079969
133	0.1533815304
134	0.1524838888
135	0.1516862389
136	0.151022504
137	0.1502883993
138	0.1496419754
139	0.1489331498
140	0.1481049332
141	0.1476513538
142	0.1469763557
143	0.1461625667
144	0.1455099016
145	0.1444964754
146	0.1437695288
147	0.1431387066
148	0.1424177622
149	0.1417156208
150	0.1410087417
151	0.1404036053
152	0.139601273
153	0.1390709694
154	0.1384296913
155	0.137822471
156	0.1374609204
157	0.1365753789
158	0.1363451731
159	0.1358259056
160	0.1351707557
161	0.1344820522
162	0.1341372446
163	0.1336574891
164	0.1328923244
165	0.1320254347
166	0.1311100166
167	0.1305097913
168	0.1294520686
169	0.1289569814
170	0.1284075609
171	0.1277446017
172	0.127305449
173	0.1264675228
174	0.1255967162
175	0.1249292003
176	0.1243723388
177	0.1237720445
178	0.1227811752
179	0.1224423837
180	0.1220016387
181	0.1212589407
182	0.1207861937
183	0.1203985832
184	0.1199817729
185	0.1191578511
186	0.1185430742
187	0.1180845678
188	0.1175678802
189	0.1168910717
190	0.1164379833
191	0.1160691656
192	0.1154556233
193	0.1147660735
